60.806,385.32,60.806,265.32
0.806,265.32,240.806,265.32
120.806,313.32,120.806,265.32
60.806,265.32,60.806,73.32
120.806,73.32,240.806,73.32
168.806,73.32,168.806,265.32
0.806,169.32,60.806,169.32
168.806,169.32,240.806,169.32
168.806,169.32,120.806,169.32
168.806,205.32,240.806,205.32
0.806,73.32,0.806,385.32
0.806,385.32,120.806,385.32
120.806,385.32,120.806,313.32
120.806,313.32,240.806,313.32
240.806,313.32,240.806,1.32
240.806,1.32,156.806,1.32
156.806,1.32,120.806,1.32
120.806,1.32,120.806,73.32
120.806,73.32,0.806,73.32
